Number_of_followers,Number_of_friend,Total_of_tweets,Contain_Picture,Contain_hashtag,Listed_count,User_mentions,Contain_url,Retweet
749,195,72395,0,0,349,0,1,0
75074,166,16419,0,0,159,1,1,1
6630,6836,9867,0,0,2,1,0,1
23,354,89,0,0,0,0,1,0
3502,2831,81154,0,1,48,0,1,1
27370085,78,2373,0,0,22983,0,1,1
36,23,108,0,0,2,0,1,0
28318,225,17077,0,0,113,0,1,1
7227,1354,225744,0,1,59,0,1,1
887777,0,28903,0,0,7849,0,1,1
23604,879,3681,0,0,69,0,1,1
615414,94,4386,0,1,216,0,1,1
488,119,54209,0,0,367,1,1,0
7795499,186,3934,0,0,1824,0,1,1
11691638,257,3646,0,0,2480,0,1,1
2519,29,311,0,1,7,0,1,1
18521,711,8551,0,0,68,0,1,1
18105,710,152713,0,0,252,0,1,0
34,18,582,0,0,0,1,1,0
6630,6836,9867,0,0,2,1,0,1
4832,1067,8526,0,0,32,1,1,1
7795499,186,3934,0,0,1824,0,1,1
478,1676,733,0,0,4,1,1,0
1218,2456,18035,0,1,11,0,1,0
3770,306,21381,0,0,27,0,1,1
6630,6836,9867,0,0,2,1,0,1
887777,0,28903,0,0,7849,0,1,1
1831,1444,18205,0,0,16,0,1,0
615414,94,4386,0,1,216,0,1,1
75074,166,16419,0,0,159,0,1,1
5779,6073,411,0,0,65,0,1,0
621226,493,21356,0,0,201,0,1,1
4283222,1,4374,0,1,496,0,1,1
6630,6836,9867,0,0,2,1,0,1
320488,927,81253,0,0,657,0,1,1
320488,927,81253,0,0,657,0,1,1
2634,394,61924,0,0,35,0,1,0
41,166,4161,0,1,0,1,0,0
21076,1151,29089,0,0,207,0,1,1
7795499,186,3934,0,0,1824,0,1,1
5904,274,14604,0,0,121,1,1,1
8338594,492,65901,0,1,4631,0,1,1
27370085,78,2373,0,0,22983,0,1,1
4914899,261,214127,0,0,52110,0,1,1
615414,94,4386,0,1,216,0,1,1
9077,316,7960,0,1,39,0,1,1
7795499,186,3934,0,0,1824,0,1,1
139,120,1250,0,0,2,0,1,0
21662,1444,6050,0,1,462,0,1,0
446,397,37739,0,1,2,1,1,1
762,245,15556,0,0,15,0,1,1
6630,6836,9867,0,0,2,1,0,1
8425136,376,25745,0,0,2807,0,1,1
23977994,90,285157,0,0,110889,0,1,1
27370085,78,2373,0,0,22983,0,1,1
25,18,2295,0,1,0,1,0,0
75074,166,16419,0,0,159,0,1,1
3189,1071,124208,0,0,97,0,1,0
6630,6836,9867,0,1,2,1,0,1
989215,1605,25572,0,0,681,0,1,0
615414,94,4386,0,1,216,0,1,1
1990662,16,651,0,0,736,0,1,1
2189,51,68198,0,0,21,1,1,1
23977994,90,285157,0,0,110889,0,1,1
2539751,0,302003,0,1,3353,0,1,1
32269,35173,417584,0,0,127,1,1,0
20569,1944,42912,0,0,67,0,1,1
2305,3959,110556,0,0,99,1,1,0
29,193,148,0,0,0,1,1,0
6630,6836,9867,0,1,2,1,0,1
557,336,651,0,1,5,0,1,0
4277,1099,6974,0,1,46,0,1,1
2801,487,18698,0,0,77,0,1,1
4608,955,15939,0,0,41,0,1,1
9707,1491,3554,0,1,43,0,1,1
34399,419,178762,0,1,160,0,1,1
24,26,207,0,0,0,0,1,0
9707,1491,3554,0,1,43,0,1,1
100933,892,68425,1,0,491,0,0,1
887777,0,28903,0,0,7849,0,1,1
684,872,3777,0,0,5,1,1,0
613805,1024,22506,0,1,313,0,1,1
615414,94,4386,0,1,216,0,1,1
595,139,26280,0,0,26,1,1,0
608,730,17628,0,0,28,1,0,1
165640,47,50762,0,1,1038,0,1,1
1122012,72,163455,0,1,844,1,1,1
893,122,3642,0,1,224,0,1,1
11414412,511,415736,1,0,10841,0,1,1
21,86,31,0,1,0,1,1,0
7795499,186,3934,0,0,1824,0,1,1
4914899,261,214127,0,0,52110,0,1,1
478,1676,733,0,0,4,1,1,0
15675,60,157,0,0,13,0,1,1
9707,1491,3554,0,1,43,0,1,1
63377,181,9077,0,0,171,0,1,1
608,730,17628,0,0,28,1,0,1
82,357,90,0,1,0,0,1,0
0,2,2,0,1,0,1,1,0
41,166,4161,0,1,0,1,1,0
2,86,19,0,0,0,1,0,0
615414,94,4386,0,1,216,0,1,1
161,286,282,0,0,0,0,1,0
23977994,90,285157,0,0,110889,0,1,1
618450,3848,14464,0,0,375,0,1,1
81,62,9792,0,0,4,0,1,0
8575,32,4245,0,0,11,0,1,1
293,284,5284,0,0,14,0,1,0
33088,1330,166364,0,0,414,0,1,1
0,6,1,0,0,0,1,1,0
25591,9775,62668,0,1,258,0,1,1
27251,850,235358,0,0,177,0,1,1
12152,150,4014,0,1,63,0,1,1
148,0,283,0,1,7,0,1,0
4696,5147,14276,0,0,66,1,1,0
989215,1605,25572,0,0,681,0,1,1
100933,892,68425,1,0,491,0,0,1
893,122,3642,0,0,224,0,1,1
